judul_film,ringkasan_sinopsis,genre
Dikejar Setan,Enam pemuda berencana membuat film horor untuk dikirim ke festival film horor. Mereka memanggil seorang paranormal yang memiliki kemampuan untuk memanggil hantu sehingga mereka akan memiliki hantu nyata dalam film mereka.,Horor
Gairah malam,Niat utama film ini adalah menyajikan adegan-adegan erotis tapi diramu dengan unsur-unsur laris lainnya seperti laga dan kekuatan gaib yang disajikan dengan banyak trick sinematografi. Kisahnya berawal dari dendam Ajeng Puspadewi (Malfin Shayna) yang di kala remajanya diperkosa dan dihina habis-habisan oleh seorang jagoan-tuan tanah yang ternyata adalah ayah dari dua pendekar Ludira (Adam Yordan) yang berwatak jahat dan Aditya (Ariel Perkasa GM) yang berwatak putih. Dendam itu membuat Ajeng menekuni ilmu hitam yang berguna untuk memelihara kecantikan sekaligus kesaktiannya. Dendam itu ternyata membawa korban lain keluarga seorang gadis yang kemudian juga menuntut balas. Perkelahian habis-habisan mengakhiri cerita ini.,Horor
Gaun Meraah,Setamat SLTA Sukarsinah (Yohana Alexandara) mencoba mengadu nasib di Jakarta dengan menginap di rumah bibinya. Di sini ia mulai mengalami nasib tragis. Ketika bibinya masuk rumah sakit Sukarsinah diperkosa pamannya sendiri Surachman (Amri Margono). Ini bukan perbuatan pertama Surachman. Sebelumnya ia pernah memperkosa pembantunya Isah (Nanung). Lari dari rumah bibinya Sukarsinah berniat jadi foto model. Ia jumpa dengan fotografer yang sesungguhnya pembunuh berdarah dingin. Di tangan fotografer ini Sukarsinah menemui ajal dan mayatnya dibuang ke danau.,Horor
Gentayangan,Film ini menceritakan mengenai hantu gentayangan,Horor
Godaan perempuan halus,Kisah ini berdasar sebuah kepercayaan akan gentayangannya mayat yang tak dikubur secara sempurna. Marni (Sally Marcelina) menyiksa dan menghancurkan satu per satu orang yang pernah memperkosanya ramai-ramai saat dia habis bercinta dengan pacarnya Leo (Irwan Setiawan) di sebuah perkemahan. Film diawali dengan perburuan oleh Marni terhadap mangsanya satu per satu. Baru di tengah-tengahnya berkisah latar belakang pemerkosaan sampai dia hamil dan meninggal karena keguguran di tengah jalan sepulang dari rumah Leo untuk minta semacam perlindungan. Di rumah Leo ia melihat Leo sedang bergumul dengan perempuan lain. Semua beban itu membuat ia tidak waras dan diungsikan ke rumah pamannya yang seolah dapat giliran memperkosanya juga. Akibatnya Marni terbunuh dan dibuang di sebuah danau. Salah satu pemerkosa Agus (Gunawan) minta tolong seorang kyai (Kusno Sudjarwadi). Sang kyai inilah yang berhasil meredam Marni yang meminta agar ia dikubur baik-baik. Sebuah film yang dipakai untuk pamer tubuh di samping dialog dan tingkah laku kasar dan jorok dengan bungkus kisah mistik.,Horor
Gondoruwo,Rumah tua yang dulu dimiliki orang Belanda itu kini ditempati oleh keluarga Gunawan. Istri Gunawan adalah wanita nakal suka serong kendatipun sudah memiliki anak. Ada misteri di rumah itu yakni tersimpannya harta karun. Yang sedikit mengetahui hal itu adalah pembantu lama Dogom. Pembantu ini berusaha tetap setia karena memang ada ambisi untuk memperoleh sekotak harta karun yang ada di rumah itu. Dogom sendiri tidak tahu persis di mana letak kotak harta karun itu. Maka Dogom lalu bersahabat dengan makhluk halus Gondoruwo yang memang selalu bergentayangan di rumah itu. Dengan demikian ketenteraman keluarga Gunawan terus terganggu. Diketengahkan pula seni tradisional Debus.,Horor
Goyang Kubur Mandi Darah,"Intan Wiwid dan Depi sedang berduka cita. Teman terbaik mereka Nisa terbunuh secara misterius. Ketiga gadis itu mengadakan pesta alkohol dan melakukan tarian ritual yang disebut ""Goyang Kubur"" untuk mengingat Nisa. Tapi tiba-tiba seorang tamu tak diundang datang.",Horor
Halfworlds,"Di jalan-jalan yang ramai dan gang-gang belakang Jakarta dunia paralel makhluk haus darah dari mitologi Indonesia telah hidup berdampingan dengan manusia selama beberapa generasi. Mengambil pada penampilan manusia itu sendiri identitas sebenarnya dari ""Demit"" ini telah disembunyikan dengan saksama selama berabad-abad oleh keluarga kuat manusia. Kedatangan peristiwa gaib misterius yang hanya dikenal sebagai Hadiah akan membawa dunia yang tersembunyi ini ke permukaan. Ketika hari Hadiah mendekat seorang seniman jalanan muda bernama Sarah tiba-tiba menemukan dirinya di mata badai. Setelah Demit menyadari siapa Sarah sebenarnya dan apa yang harus dia lakukan manusia dan Demit diatur pada jalur tabrakan yang dapat mengubah keseimbangan dua dunia mereka selamanya.",Horor
Hantu Aborsi,Semenjak pindah ke rumah baru Caca 7 tahun sering menunjukan perilaku aneh. Orang tuanya kerap melihat gadis ini berbicara dan bercanda sendiri didalam kamar. Menurut Caca temannya bernama Cinta.,Horor
Hantu ambulance,Hantu ambulance mengisahkan tentang sebuah keluarga yang hidup dalam kemampuan ekonomi yang serba kekurangan. Ternyata hal tersebut membuat geni (elvita sambuaga) sudah tidak tahan lagi dengan keadaan keluarganya tersebut. Ia pun kemudian melakukan pesugihan untuk bisa membuat keluarganya keluar dari jerat kemiskinan. Ternyata pesugihan yang dilakukan oleh geni terbukti berhasil. Keluarganya bisa keluar dari jerat kemiskinan dan berubah menjadi keluarga yang mampu serta terpandang. Namun segala sesuatu yang dilakuan dengan jalan yang tidak baik tentu akan menghasilkan sesuatu yang tidak baik pula. Ternyata pesugihan tersebut meminta tumbal sebagai balasan dari harta yang diberikan. Dan ternyata tumbal tersebut bukanlah orang lain namun keluarga geni sendiri. Geni dan keluarganya mengalami sebuah kecelakaan fatal yang langsung merenggut nyawa mereka. Namun ternyata ada satu orang dari keluarga tersebut yang berhasil lolos dari kecelakaan tersebut. Yaitu anak dari keluarga tersebut yang bernama rano (dimas andrean). Rano kemudian diasuh oleh neneknya dan mencoba melupakan tragedi masa lalu yang menimpa keluarganya. Bertahun-tahun kemudian rano yang sudah dewasa kemudian kuliah di bandung. Mereka semua kemduan memutuskan untuk tinggal bersama di sebuah rumah kontrakan. Setelah mencari cukup lama akhirnya mereka menemukan sebuah rumah kontrakan yang mereka pandang cocok untuk tempat tinggal mereka di bandung.,Horor
Hantu binal jembatan semanggi,Remaja kembar identik Rico dan Ricky yang sejak kecil terpisah. Indra ke-6 Rico membuatnya bisa berhubungan dengan alam gaib. Hal ini membuatnya stres berat sampai shock kecelakaan dan kehilangan penglihatannya. Beruntung Rico mendapatkan donor mata dari Cherise yang baru meninggal. Namun mata barunya malah membuatnya kian terpuruk. Rupanya arwah Cherise ingin melampiaskan dendamnya. Juga Jenglot dan Kuntilanak penunggu Jembatan Semanggi menghantui Rico. Jenglot menuntut darah perawan 17 tahun yang lahir di malam Jumat Kliwon 7 Juli.,Horor
Hantu Perawan Jeruk Purut,Nadya (Monique Henry) memergoki Elang kekasihnya sedang bermesraan dengan sahabatnya sendiri Wanda (Ratu Felisha). Pertengkaran yang hebat antara Nadya dan Elang menyebabkan Nadya harus mengalami mati suri akibat terlempar dari ketinggian gedung,Horor
Hantu juga Selfie,"Gara gara selfie, Helsi (Beby Regita) tewas. Kematian Helsi menggegerkan sahabat-sahabatnya. Helsi selalu muncul saat sahabat-sahabatnya berfoto selfie. Setelah euforia lulusan sekolah, Loly (Agatha Vallerie), Vega (Angelina Novie Tanjung), Gea ( Marcella Daryaani) dan Jean (Aisya Fadilla) pergi liburan ke pulau. Sampai di pulau, Loly ketemu Bara, musuhnya dan juga pacar Helsi. Bara (Lionil Hendrik) menganggap Loly mengikutinya. Loly beranggapan sama. Kemudian keduanya saling ngerjain. Di penginapan hantu Helsi meneror lewat foto selfie, begitu juga hantu kocak lainnya, hingga membuat mereka panik.",Horor
Hantu rumah ampera,Seorang pemuda yang pernah berjanji akan kembali kepada seorang wanita yang ditinggal pergi ke luar negeri. Namun ternyata pemuda tersebut mengingkari janjinya.,Horor
Ignorance,Seorang remaja mengabaikan azan (suara panggilan untuk berdoa) dalam maghrib dia tidak peduli dan pergi tidur. Setelah itu sesuatu yang buruk terjadi padanya.,Horor
Insya Allah Sah,Ketika dia datang ke kantor Dion tunangannya Silvi seorang gadis cantik namun tidak beragama ditangkap di lift bersama Raka seorang pemuda yang religius polos dan aneh yang bekerja untuk Dion. Khawatir bahwa ini akan menjadi akhir dari hidupnya Silvi bersumpah jika selamat dia akan mengubah hidupnya menjadi seorang wanita Muslim yang patuh pada perintah Tuhan. Ternyata sedetik setelah dia mengatakan itu pintu lift tiba-tiba terbuka. Sejak itu Silvi selalu menaungi Raka yang selalu mengingatkan Silvi berjanji di lift. Dan setelah beberapa serangan yang tidak menguntungkan pada Silvi Raka lah yang akhirnya membantunya sampai Silvi menemukan tekadnya. Tapi tidak selalu Dion setuju dengan sumpah Silvi.,Horor
Jaga Pocong,Mila (Acha Septriasa) seorang suster ditugaskan untuk merawat Sulastri (Jajang C. Noer) di rumahnya tetapi ketika ia sampai ternyata Sulastri sudah meninggal. Radit (Zack Lee) yang meruapakn anak Sulastri meminta Mila untuk memandikan dan membungkus jenazah serta menjaga anaknya yang masih kecil Novi karena Radit harus pergi untuk mengurus pemakaman. Sendirian di rumah bersama jenazah mulailah muncul teror-teror mengerikan yang meneror Mila dan Novi.,Horor
Jailangkung,Putri yang mencoba mencari tahu misteri di balik insiden tragis ayahnya dengan bantuan hantu boneka Jailangkung.,Horor
Jailangkung 2,Film Jailangkung 2 berkisah tentang adik Bella Tasya (Gabriella Quinlynn) yang merasa kesepian. Tanpa disengaja ia menonton rekaman video lama milik ayahnya Ferdi (Lukman Sardi) yang pernah berkomunikasi dengan arwah almarhumah istrinya menggunakan jailangkung. Tasya pun merakit jailangkung sendiri. Dia memainkannya dengan harapan bisa berkomunikasi dengan almarhumah ibunya. Kejadian ini rupanya membangkitkan berbagai masalah termasuk arwah pembawa petaka. Bella dan Rama bergabung dengan rekan baru mereka Bram (Naufal Samudra) dalam petualangan sampai ke dasar laut untuk mengalahkan titisan setan yang menguasai Angel (Hannah Al Rasyid) kakak Bella dan membawa pergi Tasya ke tempat gaib.,Horor
Jaran goyang,Film Jaran Goyang akan menceritakan tentang kisah seorang pemuda bernama Dirga (diperankan oleh Ajun Perwira). Ia adalah seorang tukang kebun yang akhirnya jatuh cinta kepada seorang gadis pedangdut populer bernama Elena (diperankan oleh Cut Meyriska). Malangnya cinta tulus Dirga ditolak oleh sang gadis pedangdut tersebut karena saat itu Elena mengaku sudah memiliki kekasih bernama Robert (diperankan oleh Cris de Lima). Merasa kecewa dengan keputusan dari Elena Dirga menempuh jalan nekat dengan membunuh Robert. Dirga juga meminta ilmu hitam yang dikenal dengan istilah “Jaran Goyang” kepada bibinya bu Srintil (diperankan oleh Nova Eliza). Dengan ilmu Jaran Goyang tersebut akhirnya Dirga berhasil meluluhkan hati Elena. Namun karena Dirga merasakan keampuhan yang didapat dari ilmu pengasihan tersebut akhirnya ia tidak berhenti untuk memburu para wanita muda untuk mendapatkan kepuasan. Lalu seperti apa kisah lengkap dari Dirga yang memanfaatkan ilmu hitam ”Jaran Goyang’ karena merasa sakit hati saat cintanya ditolak? Apakah kisahnya berakhir tragis atau justru hidup dengan bahagia? Saksikan dan tonton Jaran Goyang 2018 selengkanya di bioskop terdekat mulai 5 Juli 2018.,Horor
Jejak Darah,Menelusuri misteri kematian keluarga dekat mereka Jessica dan Reno membongkar kebenaran mengerikan tentang aborsi dan krim anti penuaan.,Horor
Jelangkung,Empat orang muda menghabiskan waktu mereka mencari fenomena supernatural.,Horor
Kafir,Kuntet memiliki seorang Guru bernama Mbah Gulung. Namun untuk menjadi muridnya Kuntet harus memenuhi beberapa aturan dan peraturan dan salah satunya adalah memberikan jiwanya kepada Gurunya sehingga Kuntet dapat memiliki kekuatan sihir hitam. Setelah kekuasaannya diberikan ia menjadi lebih terobsesi dengan aktivitasnya dan ia menjadi sangat antusias untuk menjadi pegawai negeri sipil yang tinggi di desanya. Tapi mimpinya menjadi lebih jauh di depannya ketika kematian anak-anak di desa itu membangkitkan perhatian warga dan Kuntet menjadi salah satu tersangka yang melakukan pembunuhan dengan kekuatannya meskipun sebenarnya tidak ada bukti kuat untuk meyakinkan. bahwa Kuntet adalah satu-satunya. Kuntet selalu meredam amarah warga. Dia bersumpah bahwa jika dia benar-benar telah membunuh orang dengan kekuatannya maka ketika dia mati tubuhnya tidak akan diterima oleh Bumi. Waktu berlalu hari telah tiba. Dia secara tidak sengaja meninggal ketika kekuatannya menjadi tidak terkendali dan membunuhnya. Sumpahnya sudah selesai! Tubuhnya dikuburkan ...,Horor
Kafir: Bersekutu dengan Setan,sebuah keluarga sedang dihantui oleh roh yang tidak dikenal.,Horor
Kain Kafan Perawan,Semua berawal dari Rasty dan kelima temannya Smitha Debby Marchel Harry dan Dhana mencoba membuat sebuah video klip milik Rasty di sebuah stasiun kereta api. Ketika mereka sedang meng-edit video tersebut terlihat sekilas penampakan yang aneh ini membuat Rasty ingin kembali ke stasiun kereta tersebut untuk membuat sebuah film documenter horror untuk di jual ke stasiun TV. Ternyata ketika mereka mencoba membuat film documenter di stasiun banyak teror-teror dan penampakan yang mereka temukan. Bahkan merenggut korban teman-teman Rasty. Feli dan Sarah dua gadis yang berprofesi sebagai fotografer tiba-tiba mendapat telpon dari pihak polisi kalo teman mereka Rasty telah ditemukan dengan kondisi pingsan dengan luka disekujur tubuhnya dan sekarang tengah dirawat di Rumah Sakit. Seperti dikutuk terror terhadap Rasty terus terjadi bahkan ketika di rumah sakit terror tersebut kerap terjadi. Feli dan Sarah pun juga ikut dihantui setelah mereka pulang menjenguk Rasty. Feli dan Sarah coba berbicara dengan paranormal tentang kejadian aneh ini ternyata di stasiun tempat di mana Rasty membuat video klip adalah tempat yang angker di mana ada seorang gadis perawan yang diperkosa dan dibunuh di salah satu gerbong kereta distasiun itu. Dan untuk mengakhiri terror ini mereka harus mengambil sobekan kain kafan dari seorang gadis perawan yang sudah meninggal dan sobekan tersebut harus dibakar. Dengan bantuan Fikri seorang polisi akhirnya Feli dan Sarah berangkat mencari kain kafan perawan dan hendak membakarnya di gerbong yang katanya angker tersebut. Terror hantu tersebut makin menjadi-jadi bahkan ketika mereka tiba di stasiun tersebut Sarah dirasuki oleh hantu.,Horor
Kakek Cangkul,Setelah Nenek Gayung kini datang Kakek Cangkul. Siapa sebenarnya Kakek Cangkul? Dikisahkan Kakek Cangkul itu adalah suami dari Nenek Gayung. Ketika meninggal jasad Kakek Cangkul tidak sempat dikuburkan dengan layak. Adalah Duta Coki Danu dan dua gadis cantik Thalia dan Miki yang harus berhadapan dengan Kakek Cangkul yang marah menuntut kuburnya. Bagaimana mereka menyelesaikan permasalahan ini sebelum bencana yang lebih besar lagi datang?,Horor
Keluarga Tak Kasat Mata,Keluarga Tak Kasat Mata (Invisible Family) adalah cerita tentang seorang pemuda bernama Genta menceritakan sebuah kisah tentang perusahaan tempat ia bekerja di Yogyakarta. Cerita dimulai ketika perusahaan pindah ke gedung baru. Di situlah Genta dan rekan kerjanya mulai mengalami insiden yang tidak dapat dijelaskan. Malam mereka menjadi serangkaian momen intens. Satu per satu setiap karyawan ditunjukkan penampakan dengan pesan. Teror atas teror terjadi seolah-olah membuktikan keberadaan makhluk lain selain dari kita. Satu per satu asumsi muncul memunculkan banyak pertanyaan untuk diselesaikan. Sampai akhirnya tiba titik dimana Genta dan rekannya. terpaksa meminta bantuan seorang teman. Mereka percaya ada misteri yang harus segera dipecahkan. Mungkin ditakdirkan bahwa melalui Rere satu demi satu misteri mulai terselesaikan. Tetapi tidak semua fakta dapat diucapkan. Genta harus mencari tahu jawaban atas pertanyaan-pertanyaan dan keingintahuannya dari awal semuanya sendiri. Jawaban jujur ​​yang hanya dapat diberikan oleh Keluarga yang Tidak Terlihat.,Horor
Kerasukan Setan,Eddy Arwana [23 tahun] seorang pemuda yang terobsesi dengan eksistensi makhluk halus. Eddy Arwana sangat suka mengunjungi tempat yang misterius. Ia sengaja mengunjungi tempat-tempat yang konon katanya banyak dihuni oleh hantu. Saat mengunjungi tempat berhantu lantas ia menDokumenterkan setiap tempat yang ia kunjungi untuk membuktikan keberadaan sosok yang ia maksut.,Horor
Kereta hantu Manggarai,Kakak beradik Rossa dan Emily terjebak dalam sebuah pertengkaran sikap egois dan keras kepala yang dimiliki Emily ternyata membuat Rossa lepas kontrol ia pun mengusir adik kandungnya tersebut dari rumahnya. Emily pun pergi ke Bogor untuk menemui tantenya. Ternyata Rossa tidak pernah bertemu dengan Emily sejak malam pertengkaran itu. Dalam kebingungan Rossa menceritakan semua kejadian kepada sahabatnya Tari yang kemudian menaruh curiga bahwa Emily dibawa pergi oleh kereta hantu. Meski tidak pernah percaya Rossa mengikuti ajakan Tari untuk menemui Bobby orang yang menjalankan situs ‘Dunia Gaib’ dan sangat terobsesi dengan kereta hantu. Konon kekasih Bobby meninggal secara tragis akibat naik kereta hantu. Bobby mengajak Dody dan Peggy untuk menaiki kereta hantu dibantu oleh Ki Anom seorang paranormal. Di stasiun Manggarai mereka melakukan ritual. Setelah muncul mereka akhirnya menaiki kereta hantu tersebut. Berbagai peristiwa mengerikan terjadi selama mereka di atas kereta hantu. Akhirnya mereka selamat berkat pertolongan Ki Anom. Apa yang terjadi di dalam kereta hantu rupanya terus meneror dan mengikuti mereka satu persatu terutama sosok hantu yang paling mengerikan. Satu persatu mereka tewas dan Rossa juga kerap mengalami penampakan. Rossa akhirnya terpaksa meminta Tari untuk bertemu kembali dengan Bobby. Bobby kembali membantu Rossa mencari Emily yang hilang di atas Kereta Hantu dengan bantuan Ki Anom.,Horor
Kesurupan,Dua sahabat yang bertemu dalam OSPEK di Universitas Tarumanagara Alin (Shareefa Daanish) yang nyentrik dan Felina (Nia Ramadhani) yang cantik mendapatkan kengerian kala mereka mengikuti kegiatan OSPEK lanjutan yang bermenu acara jurik malam dan menginap di Hutan Kayu Mati Sukabumi. Felina mendapatkan perhatian lebih dari seorang panitia OSPEK yang tampan Marik (Andhika Pratama) yang kebetulan menjadi pemimpin kelompok jurik malam Alin dan Felina bersama kedua teman mereka Erna dan Dea. Saat mencari rute (dan tersesat) di Hutan pada siang hari mereka berlima terperosok jatuh kesebuah lubang tanah yang ternyata berisi banyak tengkorak manusia. Lubang tanah itu juga berisi sebuah boneka yang berdesain menyeramkan. Alin mengambil boneka tersebut tanpa menyadari risikonya. Saat perjalanan keluar dari ketersesatan mereka bertemu dengan seorang pria bisu dan saudaranya yang tampaknya merupakan siluman babi dan ia bisa berbicara. Malam harinya Alin mulai kesurupan saat tengah bermain dengan boneka itu seusai acara jurik malam. Saat acaranyapun Alin didatangi tiga roh seorang kakek-kakek seorang ibu muda berkebaya dan seorang gadis cilik. Setelah malam kesurupan (Alin berhasil ditolong kedua saudara itu) Alin kembali ke rumahnya diantar Felina. Namun itu tidak mengubah keadaan dan memulai teror untuk keluarga Alin yakni Ibu Alin dan kedua pelayan rumah Mastur dan Onah. Alin secara aneh mulai kesurupan dan hal itu terjadi terus menerus. Selaku sahabat Marik dan Felina turut bersimpati dengan bergiliran menjaga Alin dirumahnya. Saat Felina menjaga dan hampir dibunuh sang Ibu memutuskan untuk memanggil orang pintar. Orang pintar pertama seorang pria yang tidak berhasil mengeluarkan setan itu dan malah menjadi tambah parah. Orang pintar kedua Mak Piah seorang wanita separuh baya dengan dandanan nyentrik membuat ramuan saat Alin kabur dari rumah dan dengan kesurupannya membuat satu korban. Ramuan itu diharuskan diminum Alin seusai Alin kesurupan. Dan ramuan itu membuat Alin semakin membaik. Tapi Alin mulai kesurupan lagi. Mak Piah memberikan deskripsi hantu itu. 3 roh yang biasa dilihat itu adalah peliharaan penunggu Hutan Kayu Mati Ki Sarwana Armadirga. Setelah kesurupan untuk yang kesekian kalinya (dan dikasur Alin Alin selalu diikat dan ajaibnya ia selalu bisa melepaskan diri) Felina mengambil kesimpulan bahwa boneka yang dulu Alin bawa dari kuburan itu adalah penyebabnya. Saat ingin dibakar Alin berteriak dan boneka itu raib. Keesokan harinya semua orang berkumpul. Mak Piah diberikan boneka itu oleh Onah yang ternyata mengambil boneka itu semalam. Mak Piah memberikan ramuan untuk Alin yang membuat Alin tidak akan kesurupan untuk waktu tertentu. Sementara itu Felina dan Marik diberikan tugas untuk membawa Alin ke Hutan Kayu Mati dengan membawa serta boneka itu untuk dikembalikan ke kuburan sesegera mungkin.,Horor
Kuntilanak,Karena selalu dilecehkan oleh ayah tirinya Samantha memutuskan untuk pindah ke sebuah rumah kos yang terletak di daerah yang sangat angker. Desas-desus mengatakan bahwa Kuntilanak (iblis-iblis) tinggal di sebuah pohon berusia ratusan tahun di dekat rumah. Pacarnya Agung mencoba memperingatkannya tetapi dia tidak memperhatikan. Segera orang-orang di sekitarnya meninggal satu demi satu secara tragis. Bahkan Agung pun menghilang secara misterius.,Horor
Kuntilanak 1,Sekelompok anak-anak setuju untuk menjelajahi sebuah rumah kosong untuk memenangkan kontes pertunjukan realitas yang mengharuskan mereka untuk membuktikan bahwa kisah-kisah jahat Kuntilanak itu nyata. Mereka segera menemukan bahwa hantu itu sangat nyata ketika muncul dari cermin lama dan mulai menghantui mereka.,Horor
Kuntilanak 2,Sam atau Samantha baru-baru ini pindah dari rumah kosnya yang tua dan angker melarikan diri dari pengikut Mangkoedjiwo Sekte yang membalas dendam atas kematian Sri Sukmarahimi Mangkodjiwo. Pacarnya yang traumatis Agung sedang mencarinya. Sam memisahkan diri dalam keluarga angkat baru untuk menghadapi sisi gelapnya sendiri. Ancaman di dalam dirinya semakin kuat dan semakin kuat karena dia tidak bisa menahan diri dari melantunkan mantra terkutuk untuk membawa hukuman mematikan kepada orang-orang di sekitarnya. Agung harus menemukannya dan membawanya kembali ke hati nurani murni sebelum nyanyian dan sisi gelapnya sendiri mengambil alih hidupnya sepenuhnya.,Horor
Kuntilanak 3,Sekelompok anak muda sedang dalam misi ke Ujung Sedo untuk menemukan teman mereka yang hilang di hutan yang menghantui. Sepanjang jalan mereka bertemu Samantha yang dalam misi pribadi ke desa mistis. Mereka menyeberangi hutan yang gelap kabut yang memekakkan telinga dan gua mematikan di mana kejadian aneh mengikuti mereka. Setiap sentuhan terhubung ke Samantha yang memiliki kutukan jahat untuk memanggil iblis yang disebut Kuntilanak. Penyihir tua yang tinggal di desa mungkin satu-satunya yang bisa menghentikan kutukan. Tapi itu bukan rencananya sama sekali.,Horor
Kuntilanak-kuntilanak,Seorang novelis dengan putrinya dan asistennya pindah ke rumah hantu. Dan dia menginginkan hak asuh putrinya setelah bercerai,Horor
Mata Batin,Alia memutuskan untuk meninggalkan Bangkok dan kembali ke Jakarta setelah orang tuanya meninggal. Dia dan Abel saudara perempuannya yang masih remaja pindah ke masa kecil mereka jauh dari kota. Tetapi Abel yang sering aneh dan ketakutan tidak menyukai rumah itu. Dia mengatakan ada hal lain selain mereka. Alia dan Davin pacar Alia yang menemani Alia mengabaikan semua yang dikatakan Abel. Tetapi sikap Abel semakin memburuk. Merasa dia harus membantu Abel Alia mengajak Abel ke psikiater. Tapi Abel menolak dan dia mengatakan bahwa dia bisa melihat mereka yang sudah mati karena mata ketiga telah terbuka sejak kecil. Abel mengajak Alia menemui Ny. Windu seorang paranormal yang membantu Abel. Ingin membuktikan hal-hal yang tidak masuk akal dalam hal ini Alia meminta Ny. Windu untuk membuka mata ketiga. Dan perlahan Alia mulai mengalami kejadian yang tidak biasa. Dia melihat hal-hal yang tidak bisa dilakukan orang lain dan kehadiran hantu meminta bantuannya. Tetapi mereka yang muncul di rumah Alia menyakitinya. Energi mereka sangat negatif sehingga dapat membahayakan Alia dan Abel. Tanpa ada tempat lain bagi mereka untuk tinggal mereka dipaksa untuk tetap tinggal dan meminta bantuan Ny. Windu. Bisakah Ny. Windu membantu?,Horor
Mata Batin 2,Film ini menceritakan tentang seorang wanita bernama Alia (Jessica Mila). Yang mana setelah kedua orang tuanya meninggal dirinya memutuskan untuk meninggalkan Bangkok dan kembali ke Jakarta. Ia dan adiknya yang bernama Abel (Bianca Hello) pindah ke sebuah rumah tempat mereka tinggal diwaktu kecil yang mana rumah tersebut jauh dari tengah kota. Namun Abel yang sering bersikap aneh dan juga ketakutan dirinya tak menyukai rumah itu. Katanya di dirumah itu ada ‘yang lain’ selain mereka berdua.,Horor
Misteri janda kembang,Asih (Sally Marcellina) diperkosa beberapa pemuda peristiwa tersebut tak diketahui siapa pun kecuali Asih dan kedua orangtua Asih. Rahasia tersebut tetap mereka simpan dan Asih dikawinkan dengan lelaki yang jauh lebih tua. Ketika tahu Asih tak perawan lagi Asih diceraikan oleh suaminya. Peristiwa tersebut membuat Asih menjadi malu dan akhirnya melakukan bunuh diri. Setelah kematian Asih kedua orangtuanya menghubungi seorang dukun untuk membangkitkan arwah Asih dengan tujuan untuk membalas dendam pada para pemerkosanya. Satu demi satu pemuda yang memperkosa Asih pun mati hingga seorang kyaidan muridnya Pandu (Teddy Frangi Suluri) berusaha menyempurnakan kematian Asih agar rohnya tak bergentayangan lagi. Usaha mereka berhasil meski sebelumnya telah jatuh banyak korban.,Horor
Mystics in Bali,Meneliti sebuah buku yang membawanya ke Bali dan kultus sihir hitam Leák Cathy bertemu dengan seorang penyihir jahat yang berjanji untuk melatihnya dalam kesenian gelap. Tertipu Cathy berubah menjadi Penanggalan; vampir terbang dengan organ-organ dalam yang tergantung di lehernya. Sekarang terserah pada orang suci setempat yang kemudian ditegakkan untuk bertempur dengan kekuatan jahat.,Horor
Nakalnya anak muda,Film ini menceritakan mengenai kenakalan anak muda dengan setan didalamnya,Horor
Ngelimbang,Andre adalah anak yang tinggal di pulau Bangka. Andre iri pada teman-temannya yang menggunakan ponsel. Setiap hari sepulang sekolah dan mulai menghasilkan uang dengan menambang timah. Film ini diambil dari kisah hidup masa kanak-kanak sutradara.,Horor
Noir Spirit Dark Return,Setelah josh dirasuki setan selama eksorsisme sekarang dia harus berurusan dengan kegelapan yang membawa dia kejahatan yang sangat dan mematikan yang akan datang ke bumi. Dan setelah dia merasuki untuk sementara iblis akan mengikutinya ke mana pun dia pergi ... Untuk membuatnya menjadi mimpi buruk paling menakutkan yang tidak pernah terlupakan.,Horor
Noir Spirit Monomatic,Saat josh menyewa rumah baru dia baru menyadari kalou dirumah tersebut ada sesuatu yang aneh,Horor
Oo Nina Bobo,Ini adalah film horor Indonesia berdasarkan pada pengantar tidur 'Oo Nina Bobo'.,Horor
Pelukan janda hantu gerondong,Kylie (Indah Kalalo) seorang sutradara terkenal. Ia tinggal bersama tunangannya Robby (Andreano Phillip) di sebuah apartemen di Jakarta. Untuk film terbarunya khusus diundang artis yang juga temanya dari Kuala Lumpur Jenna (Aida Saskia). Dia diilhami sebuah serial tv kegemarannya yang setiap hari ditontonnya. Serial itu menceritakan tentang seorang artis ternama Patty (Angel Lelga) dan kekasihnya Rocky dan sahabat mereka Joena (Lia Ladysta Trio macan). Malangnya pada malam pertama pernikahan Patty-Rocky terjadi tragedi berdarah. Patty dan seisi rumah dibantai dihabisi secara sangat keji. Satu-satunya yang hidup hanya Tommy adik Patty. Tapi akibatnya ia dituduh sebagai pelaku pembunuhan. Kylie tak menyadari apa yang terjadi dalam kehidupan sehari-harinya sudah tergambarkan dalam serial itu. Satu-persatu kejadian menggiring beberapa fakta terbuka menjadikan suatu misteri yang harus dipecahkan. Tante Rose penghuni lama apartemen sudah memperingati Robby bahwa ia mesti berhati-hati. Misteri perlahan-lahan terungkap. Robby & Rio (Shidiq Hamidi) menemui Dr. Lucas (Adam Jordan) dokter yang tertarik dengan alam gaib dan misterinya. Karena ia tertekan sejak kehilangan adiknya Randy.,Horor
Pembalasan Ratu Pantai Selatan (Lady Terminator),Semangat seorang ratu jahat kuno memiliki tubuh seorang siswa antropologi muda yang kemudian melanjutkan pembunuhan mengamuk.,Horor
Pengabdi setan (Lama),Versi bahasa Indonesia dari Phantasm (1979).,Horor
